accidentid,date,year,time,junction,severity,primaryvehicletype,probablecause,weathercondition,injuredcount,fatalitycount,vehiclesinvolved,policecaseregistered,data_source,is_simulated
NGP-00924,2023-09-13,2023,05:26,Kachipura Square,Minor,Truck,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-00923,2023-09-13,2023,18:23,Itwari,Moderate,Truck,Wrong-side Driving,Clear,3,0,2,Yes,SIMULATED,True
NGP-00928,2023-09-15,2023,10:48,Lokmat Square,Minor,Bicycle,Signal Jumping,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00926,2023-09-15,2023,12:07,Abhyankar Nagar Square,Minor,Truck,Poor Visibility (Fog/Rain),Overcast,1,0,3,Yes,SIMULATED,True
NGP-00929,2023-09-15,2023,20:11,Sitabuldi Chowk,Moderate,Car,Overspeeding,Clear,3,0,2,Yes,SIMULATED,True
NGP-00927,2023-09-15,2023,22:55,LAD Square,Minor,Car,Pothole/Road Defect,Clear,1,0,2,Yes,SIMULATED,True
NGP-00932,2023-09-16,2023,07:43,Pratap Nagar Chowk,Severe,Bus,Signal Jumping,Clear,5,0,1,Yes,SIMULATED,True
NGP-00931,2023-09-16,2023,15:55,Manish Nagar-Besa Junction,Minor,Truck,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-00930,2023-09-16,2023,22:34,Kadbi Chowk,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,4,Yes,SIMULATED,True
NGP-00933,2023-09-17,2023,16:37,Kasturchand Park Square,Minor,Pedestrian-involved,Pedestrian Crossing Violation,Clear,0,0,4,Yes,SIMULATED,True
NGP-00935,2023-09-19,2023,10:41,Pratap Nagar Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-00934,2023-09-19,2023,21:07,Jhansi Rani Square,Severe,Auto-Rickshaw,Distracted Driving,Clear,2,0,1,Yes,SIMULATED,True
NGP-00936,2023-09-20,2023,14:16,Medical Chowk,Moderate,Truck,Distracted Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-00937,2023-09-20,2023,23:30,Pratap Nagar Chowk,Moderate,Motorcycle,Overspeeding,Clear,1,0,2,Yes,SIMULATED,True
NGP-00940,2023-09-22,2023,09:04,Sitabuldi Chowk,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,4,Yes,SIMULATED,True
NGP-00938,2023-09-22,2023,16:58,Airport T-Point,Moderate,Pedestrian-involved,Pothole/Road Defect,Clear,2,0,2,Yes,SIMULATED,True
NGP-00939,2023-09-22,2023,21:52,Airport T-Point,Minor,Motorcycle,Poor Visibility (Fog/Rain),Foggy,1,0,3,No,SIMULATED,True
NGP-00941,2023-09-23,2023,15:30,Airport T-Point,Minor,Car,Pothole/Road Defect,Overcast,1,0,4,Yes,SIMULATED,True
NGP-00942,2023-09-23,2023,17:58,Ajit Bakery Square,Minor,Bicycle,Signal Jumping,Clear,0,0,1,Yes,SIMULATED,True
NGP-00946,2023-09-25,2023,08:55,Shraddhanand Peth Square,Moderate,Car,Poor Visibility (Fog/Rain),Clear,2,0,1,Yes,SIMULATED,True
NGP-00945,2023-09-25,2023,15:24,Lokmat Square,Minor,Pedestrian-involved,Overspeeding,Clear,0,0,2,Yes,SIMULATED,True
NGP-00944,2023-09-25,2023,15:45,Jhansi Rani Square,Minor,Motorcycle,Poor Visibility (Fog/Rain),Clear,0,0,4,Yes,SIMULATED,True
NGP-00943,2023-09-25,2023,22:08,Itwari,Fatal,Motorcycle,Poor Visibility (Fog/Rain),Hot/Humid,3,1,3,Yes,SIMULATED,True
NGP-00948,2023-09-27,2023,09:34,LAD Square,Severe,Motorcycle,Brake Failure,Clear,5,0,1,Yes,SIMULATED,True
NGP-00947,2023-09-27,2023,10:33,Kadbi Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00949,2023-09-29,2023,18:03,Chhatrapati Square,Moderate,Motorcycle,Pothole/Road Defect,Clear,2,0,2,Yes,SIMULATED,True
NGP-00950,2023-09-30,2023,14:30,Laxmi Nagar Square,Minor,Auto-Rickshaw,Signal Jumping,Clear,0,0,2,Yes,SIMULATED,True
NGP-00952,2023-10-01,2023,08:03,Variety Square,Minor,Motorcycle,Pedestrian Crossing Violation,Hot/Humid,0,0,1,Yes,SIMULATED,True
NGP-00951,2023-10-01,2023,15:04,Indora Chowk,Minor,Car,Pedestrian Crossing Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-00953,2023-10-02,2023,11:23,Shankar Nagar Square,Minor,Motorcycle,Pedestrian Crossing Violation,Hot/Humid,1,0,3,Yes,SIMULATED,True
NGP-00955,2023-10-03,2023,07:40,Indora Chowk,Moderate,Auto-Rickshaw,Overspeeding,Overcast,3,0,1,Yes,SIMULATED,True
NGP-00954,2023-10-03,2023,18:24,Abhyankar Nagar Square,Minor,Auto-Rickshaw,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-00957,2023-10-05,2023,13:23,LAD Square,Moderate,Motorcycle,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-00956,2023-10-05,2023,17:14,Hingna Chowk,Minor,Truck,Pedestrian Crossing Violation,Foggy,1,0,1,No,SIMULATED,True
NGP-00958,2023-10-06,2023,09:23,Kasturchand Park Square,Minor,Car,Wrong-side Driving,Hot/Humid,1,0,4,Yes,SIMULATED,True
NGP-00960,2023-10-09,2023,08:58,Ajit Bakery Square,Moderate,Car,Lane Violation,Foggy,2,0,3,Yes,SIMULATED,True
NGP-00959,2023-10-09,2023,14:24,Ajit Bakery Square,Severe,Motorcycle,Wrong-side Driving,Clear,2,0,1,Yes,SIMULATED,True
NGP-00961,2023-10-09,2023,15:05,Cotton Market Chowk,Moderate,Auto-Rickshaw,Overspeeding,Overcast,2,0,3,Yes,SIMULATED,True
NGP-00962,2023-10-11,2023,19:30,LIC Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-00963,2023-10-15,2023,13:36,Lokmat Square,Severe,Pedestrian-involved,Pedestrian Crossing Violation,Clear,5,0,4,Yes,SIMULATED,True
NGP-00964,2023-10-16,2023,16:34,Manakpur Chowk,Moderate,Car,Brake Failure,Overcast,1,0,3,Yes,SIMULATED,True
NGP-00965,2023-10-17,2023,07:22,Kasturchand Park Square,Minor,Motorcycle,Brake Failure,Clear,0,0,1,Yes,SIMULATED,True
NGP-00966,2023-10-18,2023,06:38,Mate Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,3,No,SIMULATED,True
NGP-00967,2023-10-20,2023,04:43,Kachipura Square,Minor,Car,Pedestrian Crossing Violation,Clear,0,0,2,Yes,SIMULATED,True
NGP-00968,2023-10-20,2023,19:11,Manewada Chowk,Minor,Auto-Rickshaw,Overspeeding,Clear,1,0,3,Yes,SIMULATED,True
NGP-00969,2023-10-20,2023,19:41,Pratap Nagar Chowk,Moderate,Car,Drunk Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-00973,2023-10-21,2023,05:35,Mental Hospital Chowk,Severe,Pedestrian-involved,Lane Violation,Hot/Humid,5,0,1,Yes,SIMULATED,True
NGP-00971,2023-10-21,2023,08:05,Jhansi Rani Square,Minor,Motorcycle,Wrong-side Driving,Overcast,1,0,1,Yes,SIMULATED,True
NGP-00970,2023-10-21,2023,12:19,Hingna Chowk,Minor,Car,Brake Failure,Clear,0,0,1,Yes,SIMULATED,True
NGP-00972,2023-10-21,2023,17:54,Manish Nagar-Besa Junction,Severe,Motorcycle,Signal Jumping,Clear,5,0,4,Yes,SIMULATED,True
NGP-00974,2023-10-23,2023,07:50,Dighori Chowk,Moderate,Car,Brake Failure,Clear,1,0,1,No,SIMULATED,True
NGP-00975,2023-10-23,2023,12:28,Pardi Chowk,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-00976,2023-10-23,2023,12:33,Shraddhanand Peth Square,Moderate,Motorcycle,Signal Jumping,Clear,3,0,1,No,SIMULATED,True
NGP-00977,2023-10-25,2023,11:08,Sitabuldi Chowk,Minor,Motorcycle,Lane Violation,Rainy,0,0,4,Yes,SIMULATED,True
NGP-00978,2023-10-25,2023,13:22,Vaishnodevi Chowk,Severe,Bicycle,Poor Visibility (Fog/Rain),Clear,5,0,2,Yes,SIMULATED,True
NGP-00979,2023-10-26,2023,18:01,Medical Chowk,Minor,Auto-Rickshaw,Signal Jumping,Clear,1,0,1,Yes,SIMULATED,True
NGP-00980,2023-10-28,2023,02:07,Abhyankar Nagar Square,Minor,Car,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-00981,2023-10-29,2023,11:18,Lokmat Square,Minor,Truck,Drunk Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-00983,2023-10-30,2023,15:36,Manakpur Chowk,Minor,Truck,Poor Visibility (Fog/Rain),Overcast,0,0,2,Yes,SIMULATED,True
NGP-00982,2023-10-30,2023,18:35,Kasturchand Park Square,Minor,Auto-Rickshaw,Overspeeding,Rainy,0,0,3,Yes,SIMULATED,True
NGP-00984,2023-11-01,2023,19:58,Manewada Chowk,Minor,Motorcycle,Poor Visibility (Fog/Rain),Overcast,1,0,1,Yes,SIMULATED,True
NGP-00985,2023-11-02,2023,07:57,Cotton Market Chowk,Moderate,Motorcycle,Overspeeding,Hot/Humid,1,0,3,No,SIMULATED,True
NGP-00986,2023-11-02,2023,08:53,Gaddi Godam Chowk,Minor,Car,Pedestrian Crossing Violation,Overcast,0,0,3,No,SIMULATED,True
NGP-00987,2023-11-03,2023,09:05,Automotive Square,Minor,Pedestrian-involved,Distracted Driving,Overcast,0,0,2,Yes,SIMULATED,True
NGP-00988,2023-11-05,2023,06:42,Automotive Square,Moderate,Car,Signal Jumping,Rainy,3,0,2,Yes,SIMULATED,True
NGP-00989,2023-11-05,2023,09:57,Shraddhanand Peth Square,Moderate,Truck,Overspeeding,Clear,3,0,4,No,SIMULATED,True
NGP-00990,2023-11-06,2023,09:28,Pratap Nagar Chowk,Minor,Motorcycle,Drunk Driving,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-00991,2023-11-07,2023,17:03,Pardi Chowk,Minor,Car,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00992,2023-11-10,2023,11:06,Mate Chowk,Moderate,Bus,Pedestrian Crossing Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-00993,2023-11-11,2023,13:18,Ajit Bakery Square,Moderate,Car,Lane Violation,Foggy,3,0,1,Yes,SIMULATED,True
NGP-00994,2023-11-11,2023,14:23,Ajit Bakery Square,Moderate,Truck,Overspeeding,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-00995,2023-11-11,2023,17:10,Kasturchand Park Square,Fatal,Car,Brake Failure,Hot/Humid,2,1,2,Yes,SIMULATED,True
NGP-00996,2023-11-12,2023,11:07,Vaishnodevi Chowk,Minor,Motorcycle,Drunk Driving,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-00997,2023-11-13,2023,21:49,LAD Square,Minor,Motorcycle,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-00998,2023-11-14,2023,15:20,Bardi Chowk,Severe,Car,Drunk Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-01000,2023-11-15,2023,06:23,Sitabuldi Chowk,Moderate,Car,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-00999,2023-11-15,2023,10:53,Jhansi Rani Square,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,1,Yes,SIMULATED,True
NGP-01001,2023-11-16,2023,20:46,Laxmi Nagar Square,Minor,Truck,Wrong-side Driving,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01002,2023-11-17,2023,07:57,Kasturchand Park Square,Minor,Pedestrian-involved,Signal Jumping,Clear,0,0,1,Yes,SIMULATED,True
NGP-01003,2023-11-19,2023,07:50,Cotton Market Chowk,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,3,Yes,SIMULATED,True
NGP-01004,2023-11-21,2023,12:33,LIC Chowk,Moderate,Car,Lane Violation,Rainy,2,0,3,Yes,SIMULATED,True
NGP-01005,2023-11-27,2023,16:11,Vaishnodevi Chowk,Minor,Car,Wrong-side Driving,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-01008,2023-11-28,2023,00:51,Pratap Nagar Chowk,Minor,Bus,Pedestrian Crossing Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-01006,2023-11-28,2023,08:01,Indora Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-01007,2023-11-28,2023,17:32,Lokmat Square,Minor,Car,Drunk Driving,Rainy,1,0,3,No,SIMULATED,True
NGP-01009,2023-12-01,2023,17:44,Variety Square,Severe,Car,Overspeeding,Clear,2,0,1,Yes,SIMULATED,True
NGP-01010,2023-12-02,2023,15:05,Ajit Bakery Square,Moderate,Motorcycle,Wrong-side Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-01011,2023-12-02,2023,18:23,LIC Chowk,Severe,Motorcycle,Poor Visibility (Fog/Rain),Clear,5,0,1,Yes,SIMULATED,True
NGP-01012,2023-12-03,2023,11:07,LIC Chowk,Minor,Car,Brake Failure,Clear,1,0,1,Yes,SIMULATED,True
NGP-01013,2023-12-03,2023,21:56,LIC Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-01014,2023-12-04,2023,07:21,LIC Chowk,Minor,Auto-Rickshaw,Overspeeding,Overcast,0,0,3,Yes,SIMULATED,True
NGP-01015,2023-12-05,2023,19:15,Kamptee Chowk,Severe,Motorcycle,Distracted Driving,Clear,4,0,1,Yes,SIMULATED,True
NGP-01016,2023-12-06,2023,17:23,Kadbi Chowk,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,2,0,3,Yes,SIMULATED,True
NGP-01017,2023-12-09,2023,08:33,Manish Nagar-Besa Junction,Moderate,Auto-Rickshaw,Lane Violation,Clear,2,0,1,Yes,SIMULATED,True
NGP-01019,2023-12-10,2023,12:06,Vaishnodevi Chowk,Moderate,Truck,Drunk Driving,Clear,3,0,3,Yes,SIMULATED,True
NGP-01018,2023-12-10,2023,17:29,Vaishnodevi Chowk,Minor,Auto-Rickshaw,Lane Violation,Rainy,0,0,1,Yes,SIMULATED,True
NGP-01020,2023-12-12,2023,09:51,Lokmat Square,Severe,Motorcycle,Pothole/Road Defect,Rainy,4,0,1,Yes,SIMULATED,True
NGP-01021,2023-12-13,2023,13:41,Pratap Nagar Chowk,Moderate,Car,Distracted Driving,Hot/Humid,1,0,4,No,SIMULATED,True
NGP-01022,2023-12-15,2023,07:41,Chhatrapati Square,Minor,Motorcycle,Overspeeding,Rainy,0,0,4,Yes,SIMULATED,True
NGP-01024,2023-12-15,2023,09:26,Shankar Nagar Square,Moderate,Motorcycle,Drunk Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-01023,2023-12-15,2023,21:14,Chhatrapati Square,Moderate,Motorcycle,Signal Jumping,Clear,2,0,3,No,SIMULATED,True
NGP-01025,2023-12-16,2023,09:52,Hingna Chowk,Minor,Car,Drunk Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-01027,2023-12-17,2023,07:30,Manish Nagar-Besa Junction,Moderate,Pedestrian-involved,Wrong-side Driving,Rainy,3,0,4,Yes,SIMULATED,True
NGP-01026,2023-12-17,2023,16:47,Lokmat Square,Fatal,Bicycle,Overspeeding,Clear,3,1,3,Yes,SIMULATED,True
NGP-01028,2023-12-18,2023,10:32,Chhatrapati Square,Minor,Pedestrian-involved,Poor Visibility (Fog/Rain),Hot/Humid,1,0,3,Yes,SIMULATED,True
NGP-01029,2023-12-18,2023,20:45,LIC Chowk,Moderate,Motorcycle,Wrong-side Driving,Foggy,2,0,2,Yes,SIMULATED,True
NGP-01030,2023-12-19,2023,10:43,Kachipura Square,Moderate,Motorcycle,Overspeeding,Clear,1,0,2,Yes,SIMULATED,True
NGP-01032,2023-12-20,2023,11:41,Sakkardara Square,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,2,Yes,SIMULATED,True
NGP-01031,2023-12-20,2023,18:48,Lokmat Square,Moderate,Bicycle,Drunk Driving,Clear,2,0,1,No,SIMULATED,True
NGP-01034,2023-12-21,2023,12:24,Lokmat Square,Minor,Car,Pothole/Road Defect,Clear,0,0,4,Yes,SIMULATED,True
NGP-01033,2023-12-21,2023,18:06,LIC Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-01035,2023-12-21,2023,22:16,Mate Chowk,Minor,Car,Poor Visibility (Fog/Rain),Clear,0,0,1,Yes,SIMULATED,True
NGP-01036,2023-12-22,2023,01:36,Bardi Chowk,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Overcast,0,0,3,Yes,SIMULATED,True
NGP-01037,2023-12-24,2023,13:51,Shraddhanand Peth Square,Minor,Pedestrian-involved,Drunk Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01039,2023-12-25,2023,06:59,Indora Chowk,Moderate,Truck,Poor Visibility (Fog/Rain),Clear,1,0,1,Yes,SIMULATED,True
NGP-01040,2023-12-25,2023,17:47,Sitabuldi Chowk,Moderate,Motorcycle,Brake Failure,Clear,2,0,1,Yes,SIMULATED,True
NGP-01038,2023-12-25,2023,19:18,Alankar Square,Minor,Bicycle,Drunk Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-01043,2023-12-26,2023,01:40,LIC Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-01042,2023-12-26,2023,03:57,LIC Chowk,Minor,Auto-Rickshaw,Overspeeding,Rainy,0,0,2,Yes,SIMULATED,True
NGP-01041,2023-12-26,2023,09:31,Itwari,Moderate,Car,Wrong-side Driving,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01046,2023-12-27,2023,00:23,Pratap Nagar Chowk,Minor,Car,Distracted Driving,Clear,0,0,4,No,SIMULATED,True
NGP-01045,2023-12-27,2023,14:41,Pardi Chowk,Minor,Car,Pothole/Road Defect,Rainy,0,0,2,Yes,SIMULATED,True
NGP-01044,2023-12-27,2023,15:53,Medical Chowk,Minor,Car,Drunk Driving,Rainy,0,0,3,Yes,SIMULATED,True
NGP-01047,2023-12-30,2023,11:09,Gaddi Godam Chowk,Severe,Auto-Rickshaw,Overspeeding,Rainy,3,0,3,Yes,SIMULATED,True
NGP-01048,2023-12-31,2023,05:57,Pratap Nagar Chowk,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-01049,2024-01-01,2024,13:55,Mental Hospital Chowk,Severe,Car,Signal Jumping,Rainy,4,0,3,Yes,SIMULATED,True
NGP-01050,2024-01-04,2024,14:21,Manish Nagar-Besa Junction,Severe,Car,Poor Visibility (Fog/Rain),Clear,2,0,4,Yes,SIMULATED,True
NGP-01051,2024-01-05,2024,09:50,Cotton Market Chowk,Severe,Motorcycle,Pedestrian Crossing Violation,Clear,2,0,4,Yes,SIMULATED,True
NGP-01054,2024-01-07,2024,07:54,Variety Square,Minor,Motorcycle,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-01052,2024-01-07,2024,09:24,Automotive Square,Severe,Auto-Rickshaw,Brake Failure,Clear,4,0,3,Yes,SIMULATED,True
NGP-01053,2024-01-07,2024,18:59,Mate Chowk,Minor,Motorcycle,Brake Failure,Clear,0,0,1,Yes,SIMULATED,True
NGP-01057,2024-01-08,2024,19:11,Kasturchand Park Square,Minor,Truck,Pedestrian Crossing Violation,Rainy,0,0,2,Yes,SIMULATED,True
NGP-01055,2024-01-08,2024,20:57,Abhyankar Nagar Square,Severe,Motorcycle,Overspeeding,Clear,3,0,3,Yes,SIMULATED,True
NGP-01056,2024-01-08,2024,21:14,Dighori Chowk,Severe,Motorcycle,Pothole/Road Defect,Clear,4,0,2,Yes,SIMULATED,True
NGP-01058,2024-01-09,2024,18:00,LAD Square,Minor,Motorcycle,Signal Jumping,Clear,1,0,1,Yes,SIMULATED,True
NGP-01059,2024-01-11,2024,19:22,Manakpur Chowk,Moderate,Motorcycle,Pothole/Road Defect,Clear,3,0,2,Yes,SIMULATED,True
NGP-01060,2024-01-12,2024,11:20,Lokmat Square,Minor,Motorcycle,Drunk Driving,Clear,1,0,2,No,SIMULATED,True
NGP-01061,2024-01-15,2024,19:55,Sitabuldi Chowk,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Rainy,0,0,3,Yes,SIMULATED,True
NGP-01062,2024-01-16,2024,10:44,Mental Hospital Chowk,Moderate,Bus,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-01063,2024-01-17,2024,12:33,Mate Chowk,Minor,Motorcycle,Brake Failure,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01065,2024-01-18,2024,11:30,Vaishnodevi Chowk,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-01064,2024-01-18,2024,12:01,Kamptee Chowk,Moderate,Motorcycle,Pedestrian Crossing Violation,Hot/Humid,2,0,2,Yes,SIMULATED,True
NGP-01067,2024-01-19,2024,09:42,Variety Square,Severe,Motorcycle,Overspeeding,Clear,3,0,3,Yes,SIMULATED,True
NGP-01066,2024-01-19,2024,21:31,Abhyankar Nagar Square,Moderate,Motorcycle,Wrong-side Driving,Clear,3,0,1,Yes,SIMULATED,True
NGP-01068,2024-01-20,2024,14:09,Shraddhanand Peth Square,Minor,Truck,Distracted Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-01070,2024-01-21,2024,07:48,Variety Square,Severe,Auto-Rickshaw,Lane Violation,Rainy,5,0,1,No,SIMULATED,True
NGP-01069,2024-01-21,2024,16:19,Pratap Nagar Chowk,Moderate,Car,Lane Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-01071,2024-01-23,2024,19:55,Mate Chowk,Moderate,Bicycle,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-01072,2024-01-26,2024,10:38,Mate Chowk,Moderate,Bicycle,Drunk Driving,Foggy,2,0,1,Yes,SIMULATED,True
NGP-01073,2024-01-26,2024,12:03,Variety Square,Moderate,Bicycle,Wrong-side Driving,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01074,2024-01-27,2024,08:07,Cotton Market Chowk,Moderate,Pedestrian-involved,Drunk Driving,Clear,3,0,2,Yes,SIMULATED,True
NGP-01075,2024-01-28,2024,15:03,Automotive Square,Minor,Motorcycle,Signal Jumping,Clear,1,0,2,No,SIMULATED,True
NGP-01076,2024-01-28,2024,16:13,Kachipura Square,Minor,Motorcycle,Wrong-side Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01077,2024-01-29,2024,06:46,LIC Chowk,Minor,Car,Pedestrian Crossing Violation,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01078,2024-01-31,2024,07:30,Itwari,Moderate,Bus,Distracted Driving,Rainy,1,0,1,Yes,SIMULATED,True
NGP-01079,2024-01-31,2024,20:11,Shraddhanand Peth Square,Minor,Motorcycle,Distracted Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01081,2024-02-02,2024,11:03,Sitabuldi Chowk,Moderate,Car,Lane Violation,Clear,2,0,1,Yes,SIMULATED,True
NGP-01080,2024-02-02,2024,12:21,Abhyankar Nagar Square,Moderate,Pedestrian-involved,Pothole/Road Defect,Clear,1,0,4,Yes,SIMULATED,True
NGP-01082,2024-02-04,2024,07:42,Pratap Nagar Chowk,Minor,Auto-Rickshaw,Distracted Driving,Foggy,1,0,3,Yes,SIMULATED,True
NGP-01083,2024-02-05,2024,06:18,Katol Road Chowk,Minor,Truck,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-01084,2024-02-05,2024,20:39,Shraddhanand Peth Square,Moderate,Auto-Rickshaw,Drunk Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-01085,2024-02-06,2024,13:11,Cotton Market Chowk,Moderate,Motorcycle,Brake Failure,Clear,3,0,2,No,SIMULATED,True
NGP-01086,2024-02-06,2024,22:21,Sitabuldi Chowk,Moderate,Bicycle,Wrong-side Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-01087,2024-02-09,2024,11:06,Pardi Chowk,Moderate,Bus,Lane Violation,Rainy,1,0,1,Yes,SIMULATED,True
NGP-01088,2024-02-10,2024,13:22,Kamptee Chowk,Minor,Car,Poor Visibility (Fog/Rain),Clear,0,0,4,Yes,SIMULATED,True
NGP-01090,2024-02-13,2024,08:39,Variety Square,Minor,Truck,Lane Violation,Foggy,1,0,2,No,SIMULATED,True
NGP-01089,2024-02-13,2024,14:14,Sitabuldi Chowk,Minor,Bus,Distracted Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-01092,2024-02-14,2024,08:11,Gaddi Godam Chowk,Moderate,Truck,Pothole/Road Defect,Clear,2,0,4,Yes,SIMULATED,True
NGP-01091,2024-02-14,2024,09:43,Ajni Chowk,Minor,Motorcycle,Lane Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-01093,2024-02-14,2024,15:42,Laxmi Nagar Square,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,2,Yes,SIMULATED,True
NGP-01094,2024-02-16,2024,10:56,Indora Chowk,Minor,Motorcycle,Wrong-side Driving,Clear,0,0,1,Yes,SIMULATED,True
NGP-01095,2024-02-17,2024,08:29,Gaddi Godam Chowk,Minor,Motorcycle,Signal Jumping,Clear,1,0,3,Yes,SIMULATED,True
NGP-01096,2024-02-18,2024,18:22,Kamptee Chowk,Minor,Motorcycle,Brake Failure,Clear,0,0,2,No,SIMULATED,True
NGP-01097,2024-02-19,2024,06:10,Abhyankar Nagar Square,Minor,Car,Pedestrian Crossing Violation,Overcast,1,0,1,No,SIMULATED,True
NGP-01098,2024-02-20,2024,07:25,Automotive Square,Minor,Motorcycle,Pedestrian Crossing Violation,Rainy,1,0,4,Yes,SIMULATED,True
NGP-01099,2024-02-20,2024,15:22,Automotive Square,Minor,Motorcycle,Brake Failure,Clear,0,0,2,Yes,SIMULATED,True
NGP-01100,2024-02-21,2024,05:24,Alankar Square,Moderate,Motorcycle,Pedestrian Crossing Violation,Rainy,3,0,2,Yes,SIMULATED,True
NGP-01101,2024-02-22,2024,13:04,Shraddhanand Peth Square,Moderate,Car,Signal Jumping,Rainy,1,0,3,No,SIMULATED,True
NGP-01102,2024-02-23,2024,09:35,Kamptee Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-01105,2024-02-24,2024,07:01,Chhatrapati Square,Minor,Auto-Rickshaw,Wrong-side Driving,Foggy,0,0,3,Yes,SIMULATED,True
NGP-01103,2024-02-24,2024,11:38,Abhyankar Nagar Square,Moderate,Motorcycle,Brake Failure,Rainy,1,0,2,Yes,SIMULATED,True
NGP-01104,2024-02-24,2024,17:31,Ajit Bakery Square,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Hot/Humid,3,0,1,Yes,SIMULATED,True
NGP-01106,2024-02-24,2024,17:44,Pardi Chowk,Severe,Motorcycle,Brake Failure,Clear,4,0,4,Yes,SIMULATED,True
NGP-01108,2024-02-25,2024,11:59,Sakkardara Square,Fatal,Motorcycle,Pedestrian Crossing Violation,Clear,1,2,3,Yes,SIMULATED,True
NGP-01107,2024-02-25,2024,13:55,Pratap Nagar Chowk,Severe,Motorcycle,Distracted Driving,Foggy,2,0,4,Yes,SIMULATED,True
NGP-01109,2024-02-26,2024,20:18,Laxmi Nagar Square,Minor,Motorcycle,Distracted Driving,Clear,0,0,4,No,SIMULATED,True
